"id","run","nifti"
221550,1,"nfasm-sub-221550_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221550,2,"nfasm-sub-221550_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221562,1,"nfasm-sub-221562_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221562,2,"nfasm-sub-221562_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221568,1,"nfasm-sub-221568_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221568,2,"nfasm-sub-221568_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221582,1,"nfasm-sub-221582_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221582,2,"nfasm-sub-221582_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221585,1,"nfasm-sub-221585_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221585,2,"nfasm-sub-221585_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221587,1,"nfasm-sub-221587_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221587,2,"nfasm-sub-221587_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221593,1,"nfasm-sub-221593_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221593,2,"nfasm-sub-221593_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221594,1,"nfasm-sub-221594_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221594,2,"nfasm-sub-221594_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221595,1,"nfasm-sub-221595_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221595,2,"nfasm-sub-221595_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221596,1,"nfasm-sub-221596_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221596,2,"nfasm-sub-221596_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221597,1,"nfasm-sub-221597_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221597,2,"nfasm-sub-221597_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221603,1,"nfasm-sub-221603_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221603,2,"nfasm-sub-221603_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221604,1,"nfasm-sub-221604_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221604,2,"nfasm-sub-221604_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221611,1,"nfasm-sub-221611_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221611,2,"nfasm-sub-221611_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221620,1,"nfasm-sub-221620_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221620,2,"nfasm-sub-221620_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221648,1,NA
221648,2,NA
221668,1,"nfasm-sub-221668_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221668,2,"nfasm-sub-221668_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221689,1,"nfasm-sub-221689_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221689,2,"nfasm-sub-221689_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221717,1,"nfasm-sub-221717_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221717,2,"nfasm-sub-221717_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221719,1,"nfasm-sub-221719_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221719,2,"nfasm-sub-221719_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221765,1,"nfasm-sub-221765_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221765,2,"nfasm-sub-221765_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221790,1,"nfasm-sub-221790_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221790,2,"nfasm-sub-221790_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221794,1,"nfasm-sub-221794_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221794,2,"nfasm-sub-221794_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221814,1,"nfasm-sub-221814_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221814,2,"nfasm-sub-221814_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221817,1,"nfasm-sub-221817_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221817,2,"nfasm-sub-221817_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221825,1,"nfasm-sub-221825_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221825,2,"nfasm-sub-221825_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221833,1,"nfasm-sub-221833_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221833,2,"nfasm-sub-221833_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221834,1,"nfasm-sub-221834_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221834,2,"nfasm-sub-221834_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221839,1,"nfasm-sub-221839_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
